Rk,Player,Pos,Age,Tm,G,MP,PER?,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Conference
266,Bill Bradley*\bradlbi01,SF,33,NYK,67,1027,9.5,0.49200000000000005,,0.153,2.8,7.6,5.3,15.5,1.1,0.4,,,0.3,0.5,0.8,0.038,-2.8,-0.8,-3.6,-0.4,East
267,George Karl\karlge01,PG,24,SAS,29,251,9.5,0.43200000000000005,,0.575,1.7,5.3,3.5,21.8,1.7,0.0,,,-0.3,0.1,-0.2,-0.037000000000000005,-3.8,-3.5,-7.3,-0.3,East
268,Phil Jackson*\jacksph01,PF,31,NYK,76,1033,9.4,0.484,,0.306,7.8,15.3,11.6,9.9,1.4,0.9,,,-0.1,1.0,0.9,0.043,-2.7,0.9,-1.8,0.1,East
269,Jim Ard\ardji01,C,28,BOS,63,969,9.1,0.419,,0.299,7.9,22.0,15.0,7.1,0.8,1.4,,,-0.6,1.4,0.8,0.039,-5.6,1.0,-4.6,-0.6,East
270,Rudy Hackett\hackeru01,PF,23,TOT,6,46,8.9,0.433,,1.4,8.3,19.8,13.9,8.0,0.0,1.1,,,-0.1,0.0,0.0,-0.024,-5.5,-3.4,-8.9,-0.1,NaN
271,Chuck Terry\terrych01,SF,26,NYN,61,1075,8.8,0.44,,0.195,3.9,9.9,6.7,5.5,2.5,0.5,,,-0.5,1.2,0.7,0.028999999999999998,-5.0,0.4,-4.6,-0.7,East
272,Chuckie Williams\willich03,SG,23,CLE,22,65,8.8,0.354,,0.255,4.5,1.6,3.1,16.4,0.7,0.0,,,-0.2,0.0,-0.2,-0.13699999999999998,-4.8,-6.7,-11.5,-0.2,East
273,Roger Brown\brownro02,C,26,DET,43,322,8.7,0.445,,0.46399999999999997,10.0,19.0,14.5,4.2,2.1,2.9,,,-0.2,0.4,0.2,0.028999999999999998,-4.5,1.8,-2.6,-0.1,East
274,Dwight Davis\davisdw01,PF,27,GSW,33,552,8.6,0.511,,0.581,6.2,11.2,8.7,6.2,0.9,0.8,,,0.2,0.4,0.6,0.049,-2.9,-0.9,-3.8,-0.2,West
275,Henry Dickerson\dickehe01,PG,25,ATL,6,63,8.5,0.5479999999999999,,0.667,0.0,3.4,1.7,23.7,0.7,0.0,,,0.0,0.0,0.0,0.0,-3.1,-4.4,-7.5,-0.1,East
276,Dale Schlueter\schluda01,C,31,PHO,39,337,8.5,0.409,,0.431,9.6,15.9,12.8,14.3,1.1,1.3,,,-0.4,0.4,0.1,0.009000000000000001,-4.4,1.0,-3.4,-0.1,West
277,Louie Nelson\nelsolo01,SG,25,SAS,4,57,8.4,0.527,,0.5,3.7,8.9,6.3,6.4,1.5,0.0,,,0.0,0.0,0.0,0.032,-3.4,-2.0,-5.5,0.0,East
