Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
39,Joe Barry Carroll\carrojo01,C,22,GSW,82,2919,16.4,0.534,0.002,0.351,10.3,18.7,14.4,5.8,0.8,2.3,14.4,23,,3.7,2,5.7,0.094,,-0.1,-0.8,-0.9,0.8
40,Butch Carter\cartebu01,SF,22,LAL,54,672,10.7,0.521,0.04,0.385,5.8,4.7,5.2,9.9,1.6,0.1,14.8,20.2,,0.5,0.5,0.9,0.067,,-1.9,-2.5,-4.4,-0.4
41,Reggie Carter\cartere01,SG,23,NYK,60,536,8.8,0.404,0.017,0.385,6.2,8.6,7.4,18.3,2,0.2,15.4,18.7,,-0.4,0.5,0.1,0.01,,-3.7,-1,-4.7,-0.4
42,Bill Cartwright\cartwbi01,C,23,NYK,82,2925,18.4,0.611,0.001,0.463,6.1,18.3,12,5.6,0.8,1.6,12.9,21.5,,6.9,3.1,10,0.164,,1.2,-0.7,0.5,1.8
43,Harvey Catchings\catchha01,PF,29,MIL,77,1635,10.4,0.48,0,0.307,10.7,21,16,7,0.9,6.3,23.6,10.7,,0,3.2,3.1,0.092,,-3.1,4.4,1.4,1.4
44,Maurice Cheeks*\cheekma01,PG,24,PHI,81,2415,16.4,0.579,0.014,0.306,3.3,7.5,5.5,29.5,3.7,0.9,20.9,13.9,,4,4.5,8.5,0.169,,1.3,2,3.3,3.2
45,Phil Chenier\cheniph01,SG,30,GSW,9,82,5.6,0.407,0.091,0.182,1.3,9.6,5.4,11.1,0,0,10.1,19.2,,0,0,0,-0.016,,-4.9,-4.2,-9.1,-0.1
46,Jim Chones\choneji01,PF,31,LAL,82,2562,11.8,0.528,0.005,0.257,8.1,19.1,13.9,7.4,0.7,2,16,15.6,,1.5,3.2,4.7,0.088,,-1.7,0.8,-0.9,0.7
47,Art Collins\colliar01,SG,26,ATL,29,395,4.3,0.409,0.02,0.364,5.4,6.5,6,8.6,1.3,0.2,21.8,15.4,,-0.6,0.2,-0.4,-0.054,,-5.1,-1.2,-6.3,-0.4
48,Don Collins\collido02,SF,22,TOT,81,1845,14.5,0.5,0.007,0.335,7.8,8.5,8.1,15.7,2.7,0.8,15.8,24.6,,0.6,2,2.6,0.068,,-0.1,0.3,0.2,1
48,Don Collins\collido02,SF,22,ATL,47,1184,15,0.496,0.006,0.306,9.2,8.9,9.1,15.4,2.8,0.6,15.1,24.8,,0.7,1,1.8,0.072,,0.5,-0.2,0.3,0.7
48,Don Collins\collido02,SF,22,WSB,34,661,13.6,0.507,0.011,0.391,5.2,7.7,6.4,16.2,2.5,1.1,16.9,24.1,,-0.1,0.9,0.8,0.062,,-1.1,1,-0.1,0.3
49,Doug Collins\collido01,SG,29,PHI,12,329,13.1,0.533,0,0.23,2.1,7.1,4.8,17.6,1,0.7,13.7,19.7,,0.3,0.4,0.7,0.105,,-1.1,-1.1,-2.2,0
50,Darwin Cook\cookda01,SG,22,NJN,81,1980,15,0.503,0.031,0.22,5.3,8.2,6.7,21.9,3.2,1,16.4,21.4,,0.6,2.1,2.7,0.065,,0,0.4,0.4,1.2
51,Jeff Cook\cookje01,SF,24,PHO,79,2192,11.2,0.491,0.008,0.252,8.7,14.7,11.7,11.8,1.7,1.4,17.6,14.8,,0.6,3.8,4.5,0.098,,-1.6,2.4,0.8,1.6
52,Michael Cooper\coopemi01,SG,24,LAL,81,2625,12.2,0.53,0.029,0.228,5.3,8.4,6.9,15.2,2.4,1.6,18.6,13.5,,2,3,5,0.092,,-0.4,1.9,1.5,2.3
53,Wayne Cooper\coopewa01,C,24,UTA,71,1420,12.2,0.479,0.006,0.191,13.6,21.9,17.8,5.3,0.6,2.1,13.1,17.8,,0.5,1,1.5,0.051,,-2.7,-1.5,-4.1,-0.8
54,Dave Corzine\corzida01,C,24,SAS,82,1960,16.5,0.52,0.004,0.234,13.2,21.7,17.7,8.4,1,2.7,13.7,19.3,,2.6,2.5,5.1,0.125,,0,0.4,0.4,1.2
55,Charlie Criss\crissch01,PG,32,ATL,66,1708,13,0.54,0.043,0.441,1.7,5,3.4,23.8,1.7,0.1,18.8,17.3,,1.8,0.7,2.5,0.07,,-0.7,-2.3,-2.9,-0.4
56,Geoff Crompton\crompge01,C,25,POR,6,33,11,0.441,0,0.625,23,36.4,29.7,7.4,0,3.3,32.9,18.3,,-0.1,0.1,0,-0.029,,-6.1,-0.2,-6.3,0
57,Pat Cummings\cummipa01,C,24,MIL,74,1084,15.2,0.57,0.004,0.304,10.2,19.4,14.9,8,1.3,1,17.9,23,,1,1.7,2.7,0.121,,-1,-1.1,-2.1,0
58,Earl Cureton\curetea01,C,23,PHI,52,528,13.8,0.47,0.005,0.312,11.4,20,16,6.4,1.8,2.4,11.1,20,,0.1,1.1,1.2,0.109,,-2.7,0.7,-2,0
59,Bob Dandridge\dandrbo01,SF,33,WSB,23,545,11.6,0.452,0.004,0.165,3.6,12.4,8,15.5,1.4,0.9,11.5,21.2,,-0.2,0.7,0.5,0.044,,-2.3,0.8,-1.5,0.1
60,Adrian Dantley*\dantlad01,SF,24,UTA,80,3417,24.3,0.622,0.004,0.482,6.5,10.5,8.5,16.3,1.6,0.3,12.5,28.4,,12.3,1.3,13.6,0.191,,6.4,-1.8,4.6,5.7
61,Brad Davis\davisbr01,PG,25,DAL,56,1686,16.4,0.626,0.041,0.498,1.9,8.5,5.1,33.9,1.5,0.4,19.8,15.4,,3.8,0.4,4.2,0.119,,1.5,-2.3,-0.8,0.5
62,Johnny Davis\davisjo01,PG,25,IND,76,2536,15.2,0.522,0.036,0.326,2.3,5,3.7,26.4,1.8,0.3,13.7,19.2,,4.1,1.6,5.7,0.107,,0.9,-2,-1.1,0.6
63,Monti Davis\davismo01,PF,22,TOT,2,10,4.5,0.208,0,1,21.9,22,22.5,0,0,5.7,0,30,,-0.1,0,-0.1,-0.311,,-13.4,-8.9,-22.3,-0.1
63,Monti Davis\davismo01,PF,22,PHI,1,2,44.2,1,0,0,0,50.9,27.3,0,0,0,0,20.2,,0,0,0,0.455,,5.5,-8.4,-2.9,0
63,Monti Davis\davismo01,PF,22,DAL,1,8,-5.4,0.081,0,1.25,27.4,14.8,21.3,0,0,7.1,0,32.4,,-0.1,0,-0.1,-0.503,,-18.2,-9,-27.2,-0.1
64,Ron Davis\davisro01,SF,26,SDC,64,817,11.8,0.488,0.025,0.503,6.4,10.7,8.5,8.1,2.1,0.8,13.7,22.2,,0,0.6,0.6,0.035,,-2.6,-1.4,-4,-0.4
65,Walter Davis\daviswa03,SG,26,PHO,78,2182,18.4,0.579,0.015,0.227,3.2,6.8,5.1,21.8,2,0.3,15.5,25.6,,4,3.2,7.1,0.157,,1.9,-1,0.9,1.6
66,Darryl Dawkins\dawkida01,C,24,PHI,76,2088,15.9,0.641,0,0.436,6,21.4,14.2,7.3,0.8,3,20.9,20.3,,2.2,4.1,6.3,0.145,,-0.8,1.6,0.8,1.5
67,Larry Demic\demicla01,PF,23,NYK,76,964,10.4,0.533,0.008,0.362,13,15.8,14.4,3.9,0.6,0.8,16.5,14.8,,0.8,0.8,1.6,0.081,,-2,-1.6,-3.6,-0.4
68,Coby Dietrick\dietrco01,C,32,CHI,82,1243,11.8,0.503,0.019,0.347,7.6,16.4,12.1,12.6,1.8,2.4,19.3,15,,0.5,1.5,2.1,0.08,,-1.8,1.4,-0.4,0.5
69,James Donaldson\donalja01,C,23,SEA,68,980,15.9,0.574,0,0.714,12.3,22.2,17.3,6,0.4,4.1,17.9,15.8,,1.1,1.4,2.5,0.124,,-1.7,1,-0.7,0.3
70,Jacky Dorsey\dorseja01,SF,26,SEA,29,253,5.4,0.327,0,0.357,10.2,27.6,19.1,4.6,1.7,0.2,14.7,15.3,,-0.5,0.4,-0.1,-0.01,,-7.1,-0.3,-7.5,-0.4
71,Leon Douglas\douglle01,C,26,KCK,79,1356,12.5,0.583,0.009,0.576,12.4,19.1,15.7,6.7,0.9,1.6,18.2,15.1,,1.6,1.6,3.2,0.112,,-0.8,0.5,-0.4,0.6
72,John Drew\drewjo01,SF,26,ATL,67,2075,19.2,0.539,0.006,0.526,7.9,13.3,10.6,6.5,2.3,0.4,12.6,30.9,,3.5,1.9,5.4,0.124,,0.6,-2.4,-1.8,0.1
73,Larry Drew\drewla01,PG,22,DET,76,1581,9.3,0.464,0.035,0.275,1.7,7.5,4.4,22.7,2.6,0.3,23.4,18.1,,-1.6,1.6,0,-0.001,,-4.1,-0.9,-5,-1.2
74,Ralph Drollinger\drollra01,C,26,DAL,6,67,5.3,0.476,0,0.286,8.2,24.7,16.1,29.6,0.7,1.7,45.2,17.9,,-0.2,0.1,-0.2,-0.117,,-7.1,0.8,-6.4,-0.1
75,Terry Duerod\duerote01,SG-SF,24,TOT,50,451,13.8,0.49,0.068,0.175,4.2,7,5.5,13.3,1.8,0.5,12.2,26.4,,0,0.2,0.2,0.018,,-1.6,-3.1,-4.7,-0.3
75,Terry Duerod\duerote01,SF,24,DAL,18,337,13.7,0.486,0.037,0.168,4.9,8.4,6.6,15.1,1.7,0.7,12.6,24.6,,-0.1,0.1,0,0.004,,-1.4,-2.3,-3.7,-0.1
75,Terry Duerod\duerote01,SG,24,BOS,32,114,14.3,0.499,0.137,0.192,2.1,2.9,2.5,8.2,2.1,0,11.2,31.8,,0,0.1,0.1,0.058,,-2.4,-5.3,-7.6,-0.2
76,Mike Dunleavy\dunlemi01,SG,26,HOU,74,1609,15,0.544,0.025,0.294,1.9,6.3,4.1,23.5,1.9,0.1,16.1,21.5,,2.1,0.9,3,0.091,,0.3,-2.1,-1.7,0.1
77,T.R. Dunn\dunntr01,SG,25,DEN,82,1427,10.2,0.456,0.006,0.342,9.3,12.3,10.8,6.7,2,1,12.1,12.1,,0.7,0.8,1.6,0.052,,-1.2,0.4,-0.8,0.4
78,John Duren\durenjo01,PG,22,UTA,40,458,2.6,0.338,0.01,0.089,2,6.7,4.4,15.3,1.9,0.3,26.1,13.3,,-1.1,0.2,-0.9,-0.099,,-7.2,-1.3,-8.5,-0.8
79,James Edwards\edwarja01,C,25,IND,81,2375,18.2,0.547,0.003,0.346,8.5,18,13.1,13.3,0.6,3.1,12.4,22.3,,4.4,2.6,7,0.141,,1.2,0.3,1.5,2.1
80,Bob Elliott\elliobo01,C,25,NJN,73,1320,12.3,0.541,0.005,0.482,8.7,13.7,11.2,13.7,1.2,0.7,19,18.8,,0.6,0.9,1.6,0.057,,-1.1,-0.6,-1.7,0.1
81,Len Elmore\elmorle01,C,28,MIL,72,925,8.6,0.42,0,0.354,8.4,16.3,12.4,8.7,1.9,3.2,15.2,12.2,,0,1.6,1.6,0.083,,-3.3,2.6,-0.6,0.3
82,Alex English*\englial01,SF,27,DEN,81,3093,19.7,0.549,0.003,0.295,8.8,12.6,10.7,13.4,1.5,1.6,12.1,24,,6.7,1.6,8.3,0.129,,3.3,-0.3,3,3.9
83,Julius Erving*\ervinju01,SF,30,PHI,82,2874,25.1,0.572,0.012,0.352,10,14.6,12.5,19.8,2.8,2.8,13.1,28.4,,7.8,6.1,13.8,0.231,,4.9,3.1,8,7.2
84,Mike Evans\evansmi01,PG,25,MIL,71,911,11.1,0.501,0.048,0.22,2.7,7.7,5.3,23.1,1.7,0.2,18.4,16.8,,0.6,1,1.6,0.082,,-2,-1.6,-3.6,-0.4
85,Eric Fernsten\fernser01,C,27,BOS,45,279,11,0.521,0,0.38,12.4,12.9,12.7,4.7,1,1.4,17.8,16.4,,0.1,0.3,0.5,0.079,,-2.2,-1,-3.2,-0.1
86,Chris Ford\fordch01,SG,32,BOS,82,2723,8.8,0.488,0.154,0.123,3.1,3.7,3.4,13.7,1.7,0.5,14.6,13,,1.3,2.4,3.7,0.066,,-0.7,0.2,-0.5,1
87,Don Ford\forddo01,SF,28,CLE,64,996,8.2,0.473,0.013,0.107,7.8,10.5,9.1,10.6,0.7,0.7,17.3,11.4,,0.3,0.3,0.6,0.028,,-2.5,-0.5,-3,-0.3
